num,footage,latitude,longitude,num_ba,num_br,price,type,url
0,840,37.308206,-122.033456,5,2,2798,apt,http://sfbay.craigslist.org/sby/apa/6072479604.html
1,950,37.752207,-122.436404,2,2,3950,apt,http://sfbay.craigslist.org/sfc/apa/6093081557.html
2,1400,38.010746,-121.947057,5,2,1900,apt,http://sfbay.craigslist.org/eby/apa/6093078938.html
3,,37.773281,-122.419882,1,2,2995,apt,http://sfbay.craigslist.org/sfc/apa/6087720529.html
4,1354,37.798614,-122.438519,2,2,5750,condo,http://sfbay.craigslist.org/sfc/apa/6079297504.html
5,610,37.66073,-121.780893,1,1,1695,apt,http://sfbay.craigslist.org/eby/apa/6093071931.html
6,,37.507213,-122.265021,1,1,2300,apt,http://sfbay.craigslist.org/pen/apa/6093062774.html
7,,37.872325,-122.28708,1,1,1945,apt,http://sfbay.craigslist.org/eby/apa/6093055648.html
8,181,37.752257,-122.426377,,1,1500,apt,http://sfbay.craigslist.org/sfc/apa/6093053566.html
9,,37.872325,-122.28708,1,1,1995,apt,http://sfbay.craigslist.org/eby/apa/6093055719.html
10,811,37.8601,-122.4946,2,2,5788,condo,http://sfbay.craigslist.org/nby/apa/6093049520.html
11,637,37.344641,-121.922367,1,1,2095,apt,http://sfbay.craigslist.org/sby/apa/6052256305.html
12,,37.719,-122.4096,,,1250,apt,http://sfbay.craigslist.org/sfc/apa/6093053956.html
13,,37.4396,-122.1864,1,1,1000,apt,http://sfbay.craigslist.org/pen/apa/6093042715.html
14,810,37.308028,-121.915341,1,1,2195,apt,http://sfbay.craigslist.org/sby/apa/6063033290.html
15,,37.874846,-122.269088,1,2,4820,apt,http://sfbay.craigslist.org/eby/apa/6073531941.html
16,,37.8784,-122.2655,1,2,4575,apt,http://sfbay.craigslist.org/eby/apa/6069216206.html
17,,37.8784,-122.2655,1,2,4638,apt,http://sfbay.craigslist.org/eby/apa/6073512958.html
18,,37.877392,-122.263425,1,2,4200,apt,http://sfbay.craigslist.org/eby/apa/6073510303.html
19,947,37.396,-122.0938,2,2,3137,apt,http://sfbay.craigslist.org/sby/apa/6078955289.html
20,1028,38.224716,-122.572294,5,2,2368,apt,http://sfbay.craigslist.org/nby/apa/6068206403.html
21,637,37.344641,-121.922367,1,2,2095,apt,http://sfbay.craigslist.org/sby/apa/6055329136.html
22,770,37.337053,-122.045145,1,1,2445,apt,http://sfbay.craigslist.org/sby/apa/6093029017.html
23,,37.773988,-122.482903,1,1,3500,condo,http://sfbay.craigslist.org/sfc/apa/6093025154.html
24,,37.852826,-122.28408,1,0,1550,apt,http://sfbay.craigslist.org/eby/apa/6073946641.html
25,1000,37.798472,-122.417218,1,1,3200,apt,http://sfbay.craigslist.org/sfc/apa/6093017684.html
26,,37.852826,-122.28408,1,0,1525,apt,http://sfbay.craigslist.org/eby/apa/6074877422.html
27,1400,37.741411,-122.424055,2,4,5150,apt,http://sfbay.craigslist.org/sfc/apa/6082958083.html
28,575,37.306185,-121.966268,1,1,1950,apt,http://sfbay.craigslist.org/sby/apa/6058296553.html
